location,property_type,area,bedrooms,bathrooms,age,condition,amenities_score,demand_score,rent
Outskirts,Studio,2430,3,2,17,good,2,71,13441
Outskirts,Penthouse,4445,5,2,11,good,6,91,23710
Outskirts,Apartment,3389,5,1,15,poor,5,52,16026
City Center,Apartment,3620,4,4,12,excellent,9,29,19780
City Center,House,2190,2,4,24,average,4,51,12607
Near Park,Penthouse,5009,4,2,23,good,1,73,18025
Suburbs,Studio,4898,2,4,8,average,1,23,20898
Near Park,Apartment,5702,4,1,35,excellent,9,32,20945
Outskirts,House,928,6,1,39,average,9,4,11206
Outskirts,Studio,972,2,2,12,average,5,75,9426
Near Park,Penthouse,3839,3,3,38,good,2,25,15702
Commercial Area,House,1348,2,4,28,average,0,24,9688
Suburbs,Studio,2786,1,3,13,good,0,94,13149
City Center,Penthouse,1707,4,3,33,excellent,6,50,11871
Suburbs,Apartment,1154,4,4,13,excellent,5,60,11510
Commercial Area,Penthouse,1895,2,4,29,average,7,28,10631
Near Park,House,810,2,2,27,poor,4,73,7662
Near Park,Apartment,5201,3,4,34,excellent,0,99,23661
Outskirts,Villa,611,4,3,2,poor,8,1,9703
Near Park,House,494,4,2,4,good,1,10,8161
Commercial Area,Villa,4737,6,3,2,average,7,37,24325
Near Park,Penthouse,4374,5,1,27,excellent,9,54,23856
Near Park,Studio,2273,2,2,34,excellent,8,96,13939
Commercial Area,Apartment,2101,2,4,13,poor,9,56,12283
City Center,House,605,5,2,22,average,5,46,10512
Suburbs,Apartment,1980,3,1,18,excellent,2,19,9370
Near Park,Penthouse,3454,6,1,20,average,1,9,16902
Suburbs,Penthouse,3440,5,2,18,average,1,57,15657
Suburbs,Studio,4080,2,1,18,excellent,5,78,16223
Outskirts,Studio,2138,3,2,6,poor,4,19,10869
City Center,House,1228,2,4,0,excellent,0,70,8983
Suburbs,Apartment,1050,6,4,15,poor,1,76,14006
Outskirts,House,5989,4,4,10,poor,5,25,25231
Commercial Area,Villa,685,1,1,37,excellent,1,14,2982
Commercial Area,Penthouse,1123,4,4,4,average,1,87,12780
Commercial Area,Villa,3023,5,4,33,poor,6,13,19445
Commercial Area,Villa,5297,3,1,26,excellent,4,22,21433
Commercial Area,Apartment,4294,4,2,15,average,2,63,23053
Outskirts,Villa,3093,3,1,30,poor,4,73,13738
City Center,Villa,1681,3,3,31,excellent,2,97,12359
City Center,Studio,3912,5,4,3,poor,8,3,23874
Outskirts,House,2854,5,2,22,average,5,19,13734
Outskirts,Studio,3451,1,4,30,excellent,1,39,11342
Near Park,Apartment,4779,5,4,17,good,1,16,23654
Suburbs,House,1572,5,2,23,poor,5,36,11100
Commercial Area,House,5518,5,3,7,excellent,8,22,24937
Suburbs,Penthouse,2410,3,2,23,average,5,92,16350
Near Park,Penthouse,1364,1,2,24,excellent,5,41,8666
City Center,Villa,4053,5,4,36,average,8,48,16165
Commercial Area,House,4977,6,1,16,good,8,68,27578
City Center,House,5226,5,2,24,poor,4,30,18339
Outskirts,Penthouse,5773,1,4,9,average,2,72,25913
Suburbs,Villa,3222,1,3,17,poor,4,1,10098
City Center,Penthouse,1812,2,1,38,excellent,0,76,11034
Near Park,House,5481,1,4,28,excellent,6,98,24064
City Center,Apartment,589,4,2,16,average,8,58,10123
Commercial Area,Penthouse,4254,4,3,6,good,9,57,17628
Commercial Area,Studio,964,1,2,8,average,3,61,6700
Suburbs,Penthouse,4487,4,3,10,poor,6,32,16255
Outskirts,House,5841,2,2,36,excellent,9,11,24918
Commercial Area,Villa,4569,3,2,36,poor,2,58,19661
Near Park,House,5397,3,3,17,poor,1,29,23175
Suburbs,Villa,3000,5,2,31,poor,3,80,13666
Commercial Area,House,722,3,4,28,good,3,86,11899
Near Park,Studio,3982,5,3,35,poor,0,22,15927
City Center,Studio,3855,5,3,3,excellent,4,94,22295
Near Park,Villa,2656,5,2,28,excellent,4,50,17257
Suburbs,Studio,734,2,1,8,good,6,66,7166
Commercial Area,Apartment,5960,6,3,24,poor,6,78,21677
Outskirts,Apartment,1665,1,3,20,excellent,7,22,8888
Outskirts,Studio,1650,2,2,19,excellent,0,91,11313
Near Park,Penthouse,1385,4,2,14,good,6,56,11668
Near Park,Studio,5040,2,3,16,good,5,91,18130
Near Park,Villa,5726,1,1,15,poor,1,82,21195
Commercial Area,Studio,2664,1,2,23,poor,6,61,9044
Outskirts,Studio,790,6,4,10,excellent,5,67,15455
Outskirts,Villa,2385,1,3,26,good,8,12,10447
Suburbs,Apartment,949,5,1,5,average,6,18,10069
Suburbs,Penthouse,1834,6,4,12,average,5,46,17402
City Center,House,563,4,3,15,poor,8,99,11374
Commercial Area,Penthouse,3201,3,4,25,poor,8,69,19697
Near Park,House,4766,5,4,2,average,0,49,22579
Suburbs,Studio,4011,5,3,17,poor,3,64,18369
City Center,Apartment,3713,4,3,1,good,1,35,19874
City Center,Studio,4581,2,3,31,excellent,6,55,13840
Outskirts,House,3194,3,2,39,average,8,67,11894
Commercial Area,Apartment,3858,6,2,5,poor,3,78,21519
Commercial Area,House,4681,2,1,27,good,4,11,11576
Near Park,Studio,3389,3,1,37,excellent,9,71,14745
Commercial Area,House,3233,4,3,38,average,7,12,18539
Near Park,Apartment,4535,2,3,17,average,6,98,19429
Commercial Area,Penthouse,416,3,1,21,excellent,6,10,6029
Outskirts,Studio,3225,6,3,2,good,9,9,19360
City Center,House,877,3,1,24,excellent,1,82,8802
Commercial Area,House,625,6,1,3,average,6,35,10723
Commercial Area,Penthouse,4323,6,2,5,poor,8,61,24316
Outskirts,Apartment,3585,6,1,16,good,3,40,17278
Suburbs,Villa,5295,2,3,20,excellent,2,29,15067
Near Park,Villa,4577,1,1,5,average,0,10,15418
Suburbs,Villa,5562,6,3,39,average,9,83,20636
City Center,Studio,1360,1,3,16,poor,9,11,8419
Suburbs,Villa,2633,5,3,39,good,9,63,15729
City Center,Villa,5606,2,2,33,good,6,16,16202
Near Park,Penthouse,4628,5,2,32,good,6,97,23116
Outskirts,Villa,1833,3,3,10,excellent,9,97,13429
City Center,House,4607,1,1,23,average,1,96,16065
Near Park,Penthouse,1039,4,4,37,excellent,6,91,13184
Outskirts,House,545,1,2,9,poor,3,30,5682
Suburbs,Studio,539,3,2,3,poor,4,97,9697
Suburbs,Penthouse,4423,4,1,23,good,5,21,15825
City Center,House,3900,2,2,22,good,1,91,13658
Commercial Area,House,573,1,3,27,average,7,32,6286
Commercial Area,Apartment,5317,2,4,23,average,4,61,23195
Outskirts,Apartment,4233,3,2,15,good,2,27,13727
Suburbs,Apartment,2414,4,3,10,poor,5,33,15462
Near Park,Apartment,5865,2,3,29,average,1,35,18106
Outskirts,Villa,2187,4,4,28,average,6,29,13515
City Center,Studio,1594,1,4,29,good,9,58,11628
City Center,Villa,5028,6,1,30,poor,9,88,22957
Outskirts,Studio,4720,2,3,10,poor,8,23,16660
Near Park,Penthouse,4875,4,4,4,average,9,96,27543
Suburbs,Studio,2652,6,1,34,poor,7,94,18798
Suburbs,Villa,4380,2,1,24,average,0,1,16896
Near Park,Penthouse,5989,4,4,26,poor,2,55,19922
Suburbs,Penthouse,4611,2,2,34,good,6,79,20235
Commercial Area,Penthouse,3881,3,3,28,poor,7,30,15819
Commercial Area,Apartment,1792,1,3,2,good,5,87,13302
Near Park,Villa,4468,5,1,25,poor,0,83,22607
Commercial Area,Apartment,4933,1,4,28,average,0,5,19266
Outskirts,House,3202,3,1,17,good,1,70,15557
Suburbs,Penthouse,5829,2,1,13,average,3,25,20263
Outskirts,Penthouse,4488,4,4,9,average,2,62,19043
Near Park,Penthouse,1111,5,2,19,average,4,14,11295
Commercial Area,Villa,934,6,2,34,average,4,67,11841
Outskirts,Penthouse,4855,4,2,36,average,7,29,19667
Outskirts,Villa,5248,3,3,27,average,5,22,15956
City Center,House,5776,4,1,22,poor,1,84,21044
Outskirts,House,433,4,1,5,poor,8,2,7392
Commercial Area,House,318,6,4,11,good,9,25,13239
Suburbs,Apartment,1499,4,2,5,poor,4,75,11163
Suburbs,Penthouse,2064,1,4,11,good,5,11,12512
Suburbs,House,4912,4,1,14,poor,7,57,18534
Commercial Area,Studio,5566,4,3,36,excellent,3,89,19273
Suburbs,Villa,3999,2,4,5,excellent,6,65,14541
Suburbs,Studio,755,3,2,36,average,8,80,9419
Near Park,House,3896,2,3,14,excellent,2,82,16153
Near Park,Apartment,3813,6,4,20,poor,9,36,25148
City Center,Apartment,3627,3,2,31,excellent,6,28,17614
City Center,Studio,3669,5,1,24,poor,3,45,16084
Outskirts,House,2189,3,4,22,good,0,44,12897
Outskirts,Penthouse,2170,3,4,15,average,6,4,12857
Outskirts,Villa,5168,6,2,3,poor,8,70,20208
City Center,Villa,5424,1,3,9,average,7,94,22221
Suburbs,Apartment,2852,5,2,24,good,6,49,14657
Outskirts,Studio,3795,3,2,30,average,1,13,14275
Suburbs,House,3045,5,4,29,average,7,26,15389
Suburbs,House,2214,3,3,3,poor,4,24,14032
City Center,Penthouse,3423,6,4,0,average,8,42,24567
Near Park,Penthouse,2538,1,3,32,good,7,24,8963
Near Park,House,721,2,4,31,average,3,58,7685
Commercial Area,House,3816,3,1,37,average,6,83,17635
Near Park,Villa,1847,2,4,38,poor,3,41,12147
Outskirts,Studio,680,1,3,16,average,1,6,5318
City Center,Villa,2653,4,3,36,excellent,5,50,11891
Suburbs,Penthouse,4396,3,4,25,excellent,3,78,23052
City Center,Apartment,3691,1,2,16,good,4,22,16533
Commercial Area,House,3840,4,3,4,average,3,12,19278
Commercial Area,House,2351,4,3,38,average,3,21,11332
Commercial Area,Studio,2476,1,3,13,poor,6,84,11349
Suburbs,Penthouse,5973,6,2,38,good,9,70,24771
Commercial Area,House,5419,1,4,11,average,7,28,23255
Commercial Area,Villa,2883,1,4,28,excellent,1,44,11691
Commercial Area,Studio,799,1,4,9,excellent,6,51,9705
Suburbs,House,4413,4,3,17,excellent,9,78,23478
Commercial Area,Apartment,2733,5,3,31,good,4,75,15144
Outskirts,Penthouse,2780,1,1,16,good,7,9,8250
City Center,Studio,5251,5,4,20,average,1,70,21821
Commercial Area,Villa,2801,6,3,21,average,5,37,19243
Commercial Area,Penthouse,5389,2,2,12,excellent,9,23,22372
City Center,House,2516,1,4,10,good,0,60,11068
Commercial Area,Apartment,867,3,1,25,excellent,0,25,7823
Commercial Area,Villa,2777,1,2,23,average,1,68,11009
Outskirts,Penthouse,450,1,3,31,average,3,97,6859
Near Park,House,5723,2,2,37,poor,0,49,17503
Suburbs,Studio,4117,4,3,4,average,3,17,22661
Suburbs,House,5205,5,4,15,excellent,8,27,21770
City Center,Studio,3839,2,1,13,excellent,2,6,11753
Outskirts,Studio,5567,6,1,22,average,6,86,22800
Suburbs,House,3305,4,2,37,poor,1,22,16818
City Center,Apartment,1971,4,1,5,excellent,8,49,13355
City Center,Studio,4995,1,3,5,good,4,27,15546
City Center,Studio,2757,6,2,1,good,5,1,18517
Suburbs,House,529,5,3,34,average,9,69,11849
Near Park,Studio,4890,1,4,27,average,1,48,14757
City Center,Villa,5092,6,3,8,excellent,5,44,24067
Commercial Area,Penthouse,4564,6,2,17,poor,7,18,23618
Near Park,House,1506,4,1,17,excellent,0,89,12668
Near Park,Villa,1783,5,4,22,poor,9,36,15412
Commercial Area,Studio,1373,4,1,23,poor,5,93,10122
Suburbs,Studio,4403,2,1,32,good,8,10,11666
Suburbs,Studio,308,2,3,9,excellent,4,67,6935
Outskirts,Penthouse,2622,5,1,20,average,6,18,14769
Suburbs,Apartment,3425,2,2,17,good,5,7,12469
Outskirts,House,4510,4,2,10,average,1,62,17786
City Center,Villa,1897,3,4,8,good,9,55,14607
Suburbs,Apartment,4011,2,4,33,excellent,3,3,17307
Suburbs,House,1421,4,3,33,excellent,8,84,14751
Commercial Area,Studio,4588,3,4,7,good,3,76,20536
City Center,Studio,3751,6,3,10,poor,5,49,24066
Outskirts,Villa,1448,2,1,5,average,7,57,10250
City Center,Apartment,1818,3,3,0,average,0,59,11511
Near Park,Studio,639,3,4,31,excellent,4,6,9661
Commercial Area,Penthouse,989,1,3,18,average,3,37,6573
Near Park,House,2728,5,3,28,poor,2,2,15197
Outskirts,Villa,1479,4,4,21,poor,6,33,11509
Suburbs,Penthouse,2887,4,2,24,poor,3,16,12591
Suburbs,Villa,4608,5,2,17,average,1,20,15628
Suburbs,House,4625,2,1,11,poor,8,60,16165
Outskirts,Apartment,5622,1,2,1,excellent,5,69,25719
Near Park,Penthouse,2179,4,4,38,good,0,98,15192
Outskirts,Studio,4165,1,3,36,excellent,3,92,16331
Outskirts,Villa,2023,2,1,8,good,9,2,10228
Near Park,Apartment,3993,2,1,4,poor,7,70,12211
Suburbs,House,5551,2,1,15,excellent,7,12,18941
Commercial Area,Studio,1243,2,4,21,average,7,99,10141
Outskirts,Villa,5626,6,2,15,average,4,57,24238
Outskirts,Apartment,5337,3,4,31,average,6,32,15801
Near Park,House,975,5,4,1,good,3,92,15448
Commercial Area,Apartment,3573,1,2,38,good,1,64,14061
Outskirts,House,4231,1,2,30,good,3,92,12595
City Center,Studio,1141,6,1,16,average,6,68,13120
Commercial Area,Penthouse,5461,5,1,1,average,0,62,26368
Outskirts,Villa,2873,2,2,17,good,6,41,13849
Commercial Area,Penthouse,1183,6,1,21,average,8,89,13550
City Center,Studio,5594,4,4,9,excellent,4,70,22785
City Center,Penthouse,5807,1,4,39,excellent,8,69,17630
Commercial Area,Villa,2511,6,2,4,average,0,62,18324
Suburbs,Studio,5842,1,3,18,average,7,88,16581
Commercial Area,Villa,3175,6,4,36,average,9,52,18356
Near Park,Penthouse,2517,1,1,29,average,1,23,6868
Suburbs,Apartment,3362,4,2,4,good,9,8,15922
City Center,Apartment,4659,3,1,20,poor,3,37,17446
Suburbs,Villa,3601,5,1,2,average,5,77,20471
City Center,Apartment,1447,1,4,15,good,6,87,10818
City Center,Villa,5930,6,1,7,excellent,5,54,24269
City Center,Penthouse,925,3,3,15,excellent,4,44,10789
Near Park,House,2772,5,1,20,average,5,87,17225
Near Park,Studio,5958,5,2,31,good,7,32,24866
Outskirts,Penthouse,2904,5,2,13,excellent,6,53,18034
Near Park,House,3590,6,2,1,good,0,29,14902
City Center,Penthouse,3510,4,4,35,good,3,38,17542
Commercial Area,House,5243,3,1,22,poor,1,80,22524
Suburbs,Villa,2587,6,1,17,excellent,4,68,15587
Commercial Area,Studio,2784,3,4,27,excellent,8,32,14068
City Center,Villa,3399,2,4,3,average,5,63,19057
Commercial Area,Studio,822,2,1,25,average,2,77,7036
Suburbs,House,5599,2,3,7,good,1,82,17159
Outskirts,Apartment,4735,6,3,7,good,5,97,26058
Outskirts,Apartment,4146,6,4,36,average,2,7,24748
Near Park,Apartment,4661,1,1,22,good,4,56,15167
Commercial Area,Apartment,3240,5,4,23,average,4,2,16760
Near Park,Penthouse,1810,4,1,0,poor,0,68,12777
Near Park,Penthouse,475,5,1,27,good,9,44,10516
Commercial Area,Apartment,5141,1,1,5,poor,0,52,12432
Commercial Area,Villa,5038,6,1,37,good,3,40,22587
Suburbs,House,944,2,4,7,average,4,8,9331
Commercial Area,Apartment,4559,6,2,37,good,3,71,21156
Commercial Area,Villa,5175,4,2,29,excellent,4,50,16633
Near Park,Villa,1492,6,3,11,good,0,26,12950
Outskirts,Villa,2573,5,1,9,good,9,62,16034
City Center,Penthouse,3224,6,2,1,excellent,5,18,16230
Outskirts,Studio,1106,1,4,14,excellent,3,61,9211
Commercial Area,Penthouse,1432,5,1,6,average,4,12,10958
City Center,Apartment,1795,1,2,35,average,0,20,8214
Commercial Area,Apartment,1302,1,2,36,average,8,1,5738
Suburbs,Apartment,3874,6,4,25,good,3,76,26341
Commercial Area,House,1200,2,4,6,average,1,44,10402
City Center,House,4716,2,3,25,poor,8,47,22785
Suburbs,Studio,5781,5,1,30,good,0,86,24568
City Center,Penthouse,947,1,4,23,average,4,67,8945
Suburbs,Villa,3150,4,4,28,good,8,53,14919
Near Park,Penthouse,5923,1,4,0,excellent,5,27,18925
City Center,Apartment,4489,5,1,4,average,5,80,20733
Near Park,Studio,2301,3,2,36,good,8,57,11324
Near Park,House,3928,4,3,3,average,9,53,23194
Commercial Area,Studio,1880,6,1,34,good,6,74,15650
Outskirts,Villa,4826,6,4,29,excellent,1,7,20469
Suburbs,Studio,1606,2,2,25,excellent,9,11,9757
City Center,Studio,2185,1,2,4,poor,1,86,8055
Near Park,Studio,737,6,4,11,poor,3,58,13606
Commercial Area,Apartment,3920,3,3,11,excellent,5,7,17339
City Center,Villa,1102,1,3,18,average,0,55,8273
Commercial Area,House,4542,3,1,8,excellent,6,30,18800
City Center,Penthouse,736,4,3,10,excellent,5,57,11186
Commercial Area,House,2709,5,2,14,poor,2,23,16857
Commercial Area,Studio,3668,5,3,37,good,1,97,16815
Outskirts,Studio,2082,2,2,30,average,7,38,8594
Near Park,Penthouse,2281,2,1,6,good,9,33,12236
Suburbs,Villa,4497,3,2,37,average,9,48,15049
Suburbs,Studio,3503,3,2,9,excellent,4,84,15299
City Center,Apartment,3822,1,3,6,good,3,9,12533
City Center,Apartment,2037,4,4,39,poor,9,77,16166
Outskirts,House,4770,4,1,15,poor,8,60,20588
City Center,Apartment,3446,1,4,9,average,0,53,15844
Suburbs,House,2392,6,1,1,excellent,3,41,12399
Near Park,Studio,4807,5,2,37,good,0,15,21742
Outskirts,Apartment,787,1,3,2,poor,8,99,9306
City Center,Apartment,1245,5,3,8,average,2,30,12288
Outskirts,Penthouse,466,5,2,25,good,8,90,10573
Outskirts,House,3226,2,3,21,poor,4,36,15876
Outskirts,Penthouse,2884,5,4,8,good,5,89,18218
City Center,Villa,4220,6,1,15,excellent,8,64,20303
Commercial Area,Penthouse,5628,5,1,14,excellent,3,78,20871
City Center,Apartment,1833,4,4,35,average,3,63,13565
City Center,Apartment,2946,1,1,19,average,1,51,12645
City Center,Villa,3516,6,1,5,average,0,51,16383
City Center,House,2944,1,1,21,poor,7,22,13698
City Center,House,4858,2,2,6,poor,4,17,17541
Outskirts,House,3486,6,4,29,poor,3,72,20940
Outskirts,Villa,1060,3,4,24,average,9,50,11141
City Center,Studio,3133,5,4,16,average,4,14,17679
Near Park,Studio,1633,1,2,27,poor,9,56,10231
Near Park,Villa,4034,1,1,21,excellent,2,77,13851
Commercial Area,Penthouse,4156,4,2,24,excellent,5,30,20663
Near Park,Villa,2424,3,3,12,excellent,0,59,10949
Suburbs,Studio,2731,2,3,27,good,4,64,10871
Suburbs,Studio,870,2,1,34,poor,1,26,4926
Near Park,Penthouse,1338,6,2,8,poor,7,22,14760
City Center,Apartment,4182,3,1,13,poor,1,86,16764
Near Park,Apartment,480,6,3,5,excellent,8,92,15338
Suburbs,Apartment,5348,3,1,5,average,0,80,18185
Near Park,House,5239,3,3,23,poor,7,88,24742
Outskirts,Studio,4036,4,1,22,average,8,63,20317
Commercial Area,Villa,2713,5,3,17,average,3,46,13568
Outskirts,Penthouse,5365,1,3,1,good,8,81,22642
Outskirts,Studio,3810,3,1,7,excellent,7,3,14267
Commercial Area,Apartment,2018,4,3,39,poor,8,81,16730
City Center,Penthouse,5283,4,3,7,good,0,64,20071
Commercial Area,Villa,2680,5,4,27,average,6,14,16474
City Center,Studio,4060,5,2,14,excellent,1,72,18894
Suburbs,Villa,1433,4,2,4,poor,6,14,11150
Near Park,Studio,653,6,3,26,good,8,77,14120
Suburbs,Studio,4703,3,3,12,excellent,0,36,19308
Suburbs,Apartment,461,1,1,14,good,2,48,3347
Suburbs,Penthouse,4011,3,4,11,excellent,8,97,20613
Near Park,Apartment,2752,4,1,32,poor,3,59,13310
City Center,Studio,2804,5,1,24,good,3,34,17195
Commercial Area,Apartment,1086,5,4,26,good,0,64,13395
City Center,Studio,1461,2,2,7,good,4,11,7662
City Center,Apartment,1529,4,1,28,excellent,3,24,7878
Outskirts,Studio,2911,3,1,27,poor,1,41,16063
Near Park,House,2329,4,4,32,excellent,3,30,14357
City Center,House,1771,4,1,3,good,4,37,11668
City Center,Villa,2611,5,1,38,poor,1,66,11429
Suburbs,Studio,5517,3,1,39,good,8,33,24637
Outskirts,Apartment,443,5,4,9,poor,1,98,13453
Commercial Area,Studio,2283,6,3,33,poor,7,60,15411
Outskirts,Apartment,4088,5,2,33,good,8,27,15804
Suburbs,Villa,5778,3,2,30,excellent,8,76,22136
Suburbs,Studio,2886,5,2,23,good,2,90,18430
Suburbs,Villa,3084,4,2,18,excellent,5,48,15869
Near Park,Apartment,3887,5,4,33,poor,9,10,20725
Suburbs,Penthouse,886,2,1,38,excellent,4,90,6790
City Center,Apartment,5302,4,4,31,poor,8,41,21587
Near Park,Villa,4801,4,2,11,excellent,1,76,17872
Suburbs,Studio,889,5,3,15,good,4,54,12130
Near Park,Studio,2733,6,2,18,good,0,4,16434
City Center,Villa,2358,3,3,27,good,1,86,12777
Suburbs,Studio,3171,5,4,15,good,1,40,20692
Suburbs,House,536,3,1,26,good,4,31,6674
City Center,Penthouse,3824,2,3,11,poor,2,85,14212
Suburbs,Villa,3678,4,4,27,average,7,51,15959
City Center,Penthouse,1291,2,1,19,average,0,38,8610
Suburbs,Villa,1251,2,3,12,good,4,72,9403
Suburbs,Penthouse,3243,3,2,36,average,6,28,14521
Outskirts,Apartment,3954,2,4,25,poor,9,12,14575
Near Park,Villa,4049,5,3,10,good,7,35,16930
Commercial Area,Studio,1347,6,2,7,poor,7,99,15983
Outskirts,Penthouse,3107,2,1,35,excellent,0,78,10091
Outskirts,Apartment,1539,2,3,35,good,5,12,7316
Near Park,Apartment,4355,3,1,8,good,2,13,10986
Outskirts,Apartment,3976,6,2,16,average,3,49,16468
City Center,Studio,1219,5,4,11,poor,8,34,13421
Outskirts,Apartment,2898,2,4,12,poor,8,33,11841
Commercial Area,Penthouse,4239,3,1,12,average,5,21,15960
City Center,Studio,401,2,1,36,excellent,9,83,6964
Near Park,Villa,2586,1,4,32,average,4,37,13007
Near Park,Studio,4165,3,2,14,average,4,15,18846
Near Park,Villa,4282,3,2,35,excellent,2,61,19850
City Center,Villa,3823,1,3,38,average,9,52,11490
Near Park,Villa,5751,5,1,28,average,4,17,24299
Near Park,Villa,3440,2,3,30,excellent,8,81,18003
Commercial Area,Studio,548,1,2,4,good,6,90,7289
Suburbs,House,5437,3,4,24,excellent,0,44,24593
Suburbs,House,4207,2,2,18,excellent,2,16,12493
Suburbs,Apartment,4014,4,2,30,excellent,5,13,17116
Near Park,Penthouse,3882,3,4,11,excellent,2,2,14855
City Center,Penthouse,1212,1,3,10,good,8,92,11231
Near Park,Penthouse,3330,4,1,7,good,2,88,18476
Suburbs,Apartment,5791,3,1,0,poor,6,84,18828
Commercial Area,Penthouse,4980,1,4,23,excellent,2,18,17139
Near Park,Studio,1940,4,4,32,average,9,99,18576
Near Park,House,1505,3,2,18,good,6,10,9178
Near Park,Villa,4271,4,1,10,average,3,71,16255
City Center,Penthouse,840,6,3,26,poor,6,82,13206
Commercial Area,Apartment,4317,4,1,14,average,9,33,18392
Commercial Area,Apartment,2216,2,2,9,poor,8,75,12427
Commercial Area,Studio,5405,3,3,36,poor,1,44,23259
Commercial Area,Villa,3946,4,2,22,good,2,40,12966
Suburbs,Villa,1975,4,4,2,excellent,1,49,15296
Near Park,Apartment,4105,2,3,5,good,8,88,17109
Commercial Area,Penthouse,3581,3,1,36,excellent,7,11,16626
Outskirts,Studio,2834,6,3,22,excellent,6,67,21693
Outskirts,Studio,3657,6,2,8,excellent,2,52,20084
Suburbs,Villa,5592,2,3,34,good,2,39,15305
Outskirts,Studio,4310,1,4,29,excellent,4,2,11427
Outskirts,House,3264,6,4,18,excellent,1,92,22590
Outskirts,Villa,1435,5,1,29,poor,7,49,12976
Suburbs,Apartment,3825,6,1,32,good,3,52,15331
Near Park,Studio,4772,6,2,36,average,8,31,25761
Suburbs,Villa,1624,3,2,7,excellent,5,77,12410
City Center,Penthouse,4680,2,3,2,average,4,97,15120
City Center,Penthouse,2482,1,4,15,good,9,51,13228
Outskirts,House,584,1,2,5,excellent,2,31,5494
Outskirts,Apartment,5274,5,2,23,excellent,3,66,21736
Near Park,Penthouse,1638,2,3,23,excellent,4,98,11274
Outskirts,Villa,3124,5,4,18,poor,6,66,16675
City Center,Studio,2141,2,4,14,poor,2,37,10978
Outskirts,Penthouse,2368,6,4,33,poor,6,25,14115
Near Park,Penthouse,1088,3,4,30,excellent,8,62,11053
City Center,House,4774,1,3,28,average,6,99,14005
Outskirts,Studio,5721,5,4,27,good,8,9,21496
Near Park,Studio,4540,3,4,7,good,1,6,16392
Near Park,Penthouse,5310,1,3,23,excellent,9,66,23255
City Center,Studio,4740,6,4,20,poor,6,15,27226
City Center,Apartment,2337,4,2,33,excellent,1,61,16212
City Center,Apartment,5960,6,4,10,excellent,7,15,20504
Near Park,Penthouse,2820,4,1,0,poor,2,58,13065
City Center,Penthouse,992,2,4,36,good,1,33,8854
City Center,Apartment,1243,1,2,23,excellent,4,62,7218
Near Park,Studio,1161,1,2,25,good,4,80,6641
Near Park,House,3378,1,4,4,excellent,0,65,16027
City Center,House,1065,4,3,16,average,5,59,11748
City Center,House,3540,2,3,35,poor,8,1,17745
City Center,Studio,548,3,4,26,excellent,6,79,9906
Near Park,House,2484,6,4,4,poor,7,54,22214
Commercial Area,Apartment,860,3,1,3,poor,1,78,7018
Suburbs,Studio,396,3,3,4,excellent,6,51,9342
Outskirts,Apartment,528,1,3,30,good,1,97,7169
Suburbs,Studio,4912,5,3,38,average,5,19,25296
Near Park,House,464,3,3,7,poor,4,83,8591
Commercial Area,House,3081,6,1,1,poor,2,59,17988
Near Park,Penthouse,634,4,3,38,average,2,3,8385
City Center,Villa,3979,4,1,33,average,9,76,18636
Outskirts,Apartment,4044,5,3,24,good,8,87,18792
Suburbs,House,570,3,2,22,excellent,2,47,8609
Near Park,Studio,5996,2,4,14,good,5,71,29123
Commercial Area,Penthouse,4703,1,3,13,average,6,66,16964
City Center,Apartment,5980,5,3,39,good,8,86,25816
Commercial Area,House,333,6,3,30,good,9,18,12019
Outskirts,Penthouse,3055,2,3,21,excellent,4,79,11728
Commercial Area,House,3132,5,3,27,poor,4,62,19667
Commercial Area,House,2399,6,2,29,poor,7,44,14303
City Center,House,2843,6,1,17,poor,5,67,19365
Commercial Area,Penthouse,5030,6,3,21,excellent,8,5,18673
City Center,Villa,5015,1,3,15,average,4,82,19029
Outskirts,House,3175,5,3,22,good,6,94,16278
Near Park,Apartment,4964,6,2,31,good,0,27,24221
City Center,Penthouse,5292,6,1,26,excellent,8,48,27066
Near Park,House,2559,3,1,31,average,7,2,12773
Suburbs,Penthouse,5627,1,2,16,poor,4,88,23803
Commercial Area,Apartment,864,1,3,9,poor,2,34,7802
Near Park,Apartment,3366,4,4,24,poor,2,55,14928
Commercial Area,Studio,4705,5,1,8,good,6,46,14928
City Center,Studio,5430,3,4,26,good,5,38,18045
Commercial Area,Villa,1091,5,2,21,good,6,66,13705
Outskirts,Studio,629,4,2,4,excellent,7,48,9755
Near Park,Penthouse,5520,6,3,16,average,7,93,23067
Commercial Area,Studio,4262,4,4,31,excellent,5,40,14509
Near Park,Penthouse,678,4,1,14,excellent,2,7,7311
Near Park,Penthouse,4089,3,3,9,poor,8,6,13995
Outskirts,Villa,2590,3,4,9,poor,6,14,16335
City Center,Penthouse,820,4,2,10,good,9,82,12496
Commercial Area,Studio,2570,4,1,38,good,4,56,12774
Suburbs,Studio,3203,3,4,6,poor,2,83,15446
Near Park,House,1424,6,2,28,excellent,3,2,13934
City Center,Villa,1333,2,4,32,poor,3,8,7703
Suburbs,Apartment,4930,1,3,13,poor,7,58,14197
Near Park,Apartment,3689,5,1,34,average,5,21,16728
Suburbs,House,2885,1,3,29,good,1,26,10839
Commercial Area,Studio,2461,5,4,6,excellent,7,90,19019
