location,property_type,condition,area,bedrooms,bathrooms,age,amenities_score,crime_index,market_volatility,economic_stability,demand_score,risk_score
Outskirts,Penthouse,excellent,5457,4,3,21,6,35.49,0.84,1.3,57,16.96
City Center,Studio,good,2477,6,1,9,6,74.15,1.33,0.91,25,40.14
City Center,Villa,excellent,2991,3,1,26,6,67.4,1.67,1.44,5,38.07
Outskirts,House,poor,2837,2,1,19,9,70.93,1.67,1.04,97,50.35
Suburbs,Apartment,good,3561,3,1,22,7,29.99,1.5,0.95,86,42.72
Outskirts,House,average,1505,3,2,1,0,90.73,0.6,0.85,35,58.47
Near Park,House,excellent,2123,2,4,37,9,11.63,1.0,0.59,64,17.18
City Center,Villa,average,5681,2,4,5,9,79.96,1.53,0.92,34,51.59
Near Park,Studio,poor,2275,4,4,35,8,59.16,0.68,1.17,27,31.94
Near Park,Villa,poor,5978,4,3,25,6,77.4,1.38,0.54,89,62.36
City Center,Villa,good,5953,1,1,37,2,6.62,1.14,1.32,56,24.29
Outskirts,Penthouse,average,1922,4,2,14,6,72.48,0.8,1.37,62,32.89
Commercial Area,Penthouse,good,3778,2,2,37,1,97.83,0.81,0.98,44,61.96
Near Park,Apartment,good,306,1,4,25,5,78.94,1.92,1.01,4,63.73
Outskirts,Penthouse,poor,1852,6,1,15,6,63.89,1.03,0.79,57,50.23
Commercial Area,Apartment,excellent,357,1,1,6,5,58.56,1.43,1.02,54,48.5
Near Park,House,excellent,1355,1,3,26,4,43.12,0.73,1.26,63,33.43
Outskirts,House,excellent,1180,4,1,35,7,17.91,1.28,1.43,63,32.54
Near Park,Villa,excellent,4581,2,1,15,3,58.22,0.91,0.76,31,40.94
Outskirts,House,excellent,2439,3,3,19,9,24.4,0.61,1.14,93,12.15
Suburbs,Penthouse,average,5065,3,4,6,1,82.33,1.8,0.97,3,63.04
Suburbs,Penthouse,average,752,6,1,36,6,29.34,1.58,0.88,30,44.5
City Center,Penthouse,average,2338,6,1,10,9,77.36,1.76,1.16,96,51.5
Commercial Area,Studio,excellent,5410,6,4,36,7,27.63,0.99,1.02,94,31.51
Near Park,Penthouse,excellent,1171,6,2,11,2,12.77,1.13,1.43,28,18.53
Near Park,Villa,good,2892,1,4,14,3,23.71,1.58,1.42,57,29.71
Outskirts,Villa,average,2494,6,1,2,6,40.82,1.14,1.43,10,25.46
Commercial Area,House,good,5607,3,4,18,3,77.37,1.89,1.19,4,64.86
Near Park,Apartment,excellent,1818,4,2,31,4,13.86,1.31,0.72,13,47.09
Commercial Area,Studio,poor,2755,1,1,37,5,90.18,1.56,0.78,17,77.92
Commercial Area,Apartment,average,2088,1,1,17,6,36.12,1.02,1.13,25,31.87
Suburbs,Studio,average,2494,3,4,9,4,6.32,1.7,1.03,92,40.3
Near Park,Villa,excellent,1804,2,2,1,0,61.08,1.24,0.57,25,60.51
Near Park,Villa,good,4427,2,1,39,2,92.22,0.61,1.2,46,56.41
City Center,Studio,average,4631,5,3,34,0,91.99,0.58,1.27,50,54.25
Commercial Area,House,average,1281,2,4,27,3,4.85,1.01,0.72,22,34.63
Outskirts,Penthouse,excellent,3409,5,1,38,0,44.9,0.96,0.85,31,45.7
Suburbs,Penthouse,good,5398,1,4,39,5,69.68,0.53,1.21,3,34.73
City Center,Apartment,excellent,2137,3,2,14,9,19.62,1.23,0.76,5,28.09
Suburbs,Villa,average,5803,1,4,8,8,84.57,0.62,0.99,16,35.49
Outskirts,Penthouse,poor,4724,1,3,36,8,55.91,1.35,1.15,89,46.01
City Center,Villa,excellent,2702,4,2,33,2,1.74,1.29,0.68,57,46.34
Suburbs,Villa,average,2398,2,3,39,3,34.46,0.98,0.64,45,34.29
Outskirts,Villa,excellent,3289,6,1,37,9,51.1,0.51,0.66,80,17.91
City Center,Penthouse,excellent,1221,1,1,25,1,62.41,1.33,1.45,63,50.39
Outskirts,Penthouse,excellent,5342,4,4,6,1,31.87,1.15,1.18,79,39.85
City Center,Penthouse,average,5459,3,1,10,7,96.89,0.8,1.26,11,41.74
Near Park,Studio,poor,2646,4,3,35,2,79.22,1.97,0.91,62,82.86
Near Park,Penthouse,good,2257,4,3,24,0,96.91,0.74,1.11,83,65.77
Suburbs,Villa,excellent,4899,6,2,25,4,55.14,1.62,1.06,92,56.89
Commercial Area,Villa,excellent,5688,4,1,14,5,42.26,0.66,1.27,83,17.3
Commercial Area,Apartment,average,530,3,1,31,0,67.67,1.1,0.67,99,68.75
Outskirts,House,average,5180,6,4,9,3,39.77,1.6,0.59,88,53.06
City Center,Studio,average,5889,5,2,35,0,95.48,0.87,0.56,64,81.09
Near Park,Apartment,average,5544,1,4,15,7,11.88,1.03,1.05,70,3.33
Commercial Area,Studio,excellent,4446,3,2,10,8,71.39,0.72,0.56,89,42.47
Near Park,Studio,poor,4170,6,3,10,3,41.45,0.91,1.28,69,25.65
Outskirts,Villa,poor,2743,1,1,15,7,36.22,1.23,0.99,25,26.55
Outskirts,Villa,excellent,1061,2,1,15,3,87.82,0.92,0.51,44,57.09
City Center,Villa,poor,1470,2,3,38,2,90.07,1.62,1.27,27,80.27
Commercial Area,Villa,poor,1169,1,2,21,6,77.43,0.78,1.46,98,43.24
Outskirts,Apartment,excellent,3897,1,4,12,9,18.99,0.61,0.5,97,17.48
Outskirts,House,poor,1131,5,1,9,1,1.7,1.71,0.54,41,42.92
Near Park,House,excellent,3793,2,1,11,8,50.88,1.0,0.71,45,34.7
Suburbs,Apartment,average,3917,3,3,1,4,88.69,0.88,1.41,2,42.16
Commercial Area,House,excellent,598,3,4,20,9,75.86,1.69,0.99,73,56.66
City Center,Penthouse,average,5750,4,3,22,4,21.66,0.92,1.44,76,22.0
City Center,Penthouse,poor,5393,3,1,2,3,5.49,1.56,1.19,91,30.21
Near Park,Penthouse,average,4135,2,4,9,8,8.51,1.98,1.05,73,24.87
City Center,Villa,poor,2487,6,1,34,8,75.11,0.69,0.87,15,33.18
Outskirts,Penthouse,average,2318,6,4,0,5,15.12,1.18,1.31,29,24.06
Commercial Area,Studio,good,3729,1,4,32,9,39.22,1.45,0.51,18,43.97
City Center,Studio,excellent,3690,5,4,23,6,68.62,1.64,1.14,66,57.05
Commercial Area,Apartment,average,5224,1,2,32,5,19.29,1.23,1.4,85,27.93
City Center,Studio,average,4648,2,2,0,1,79.83,1.58,1.37,89,58.9
Suburbs,Apartment,average,895,2,4,3,5,68.56,1.0,1.48,42,26.66
Suburbs,House,good,2831,4,4,0,5,8.77,1.32,0.79,67,20.33
Commercial Area,Studio,average,2151,3,2,39,5,67.88,0.55,0.64,98,44.7
Suburbs,Studio,poor,3160,3,4,23,9,89.55,1.55,0.63,45,63.05
Suburbs,Apartment,excellent,5338,5,3,11,0,42.7,1.96,0.67,15,72.52
Outskirts,Studio,average,3409,2,3,29,2,23.99,1.64,1.19,79,47.5
City Center,Apartment,poor,1036,1,4,28,8,15.82,0.7,1.09,96,18.3
Suburbs,Studio,average,3027,1,4,21,2,34.36,0.76,0.51,27,40.87
Commercial Area,Villa,average,2205,1,1,14,3,30.21,0.59,1.13,16,19.47
Outskirts,House,poor,744,5,1,20,2,93.65,1.68,0.7,35,78.77
Suburbs,Studio,good,3524,4,4,15,7,38.97,0.64,0.59,81,24.24
Commercial Area,House,poor,3748,2,2,38,5,31.39,1.83,0.62,58,61.15
City Center,Studio,poor,5946,3,4,30,3,2.57,1.56,1.1,60,41.42
Suburbs,Studio,poor,4276,6,4,23,5,23.58,1.06,1.39,32,26.59
Commercial Area,Villa,good,4763,6,2,21,1,56.73,0.64,0.81,23,47.69
Commercial Area,Penthouse,average,4977,5,3,4,4,87.6,0.82,1.32,34,45.32
Near Park,Penthouse,poor,5894,6,3,20,9,72.53,0.54,1.27,14,22.94
Commercial Area,House,average,3009,6,2,13,6,92.34,1.43,1.24,53,57.39
Near Park,House,good,1115,2,4,37,6,14.5,1.8,0.98,21,39.89
City Center,Villa,average,303,5,4,1,8,31.0,1.6,0.82,64,42.14
City Center,Apartment,good,3991,2,4,36,1,34.55,1.0,0.5,20,47.15
Outskirts,House,poor,1205,3,4,37,4,83.68,1.31,1.33,22,54.06
Near Park,Penthouse,good,2069,3,2,14,7,64.04,1.03,0.53,96,49.71
Commercial Area,Villa,average,5217,1,4,38,7,70.22,1.31,0.76,36,52.85
Outskirts,Apartment,average,5776,1,1,16,8,68.89,1.39,0.55,7,59.67
Outskirts,Villa,average,4938,3,2,0,8,2.95,0.87,0.89,47,7.05
City Center,Penthouse,good,2565,4,4,28,9,30.96,0.56,0.58,23,21.68
Commercial Area,Villa,excellent,801,1,2,17,2,53.01,1.27,1.28,44,44.37
Near Park,Studio,poor,1579,1,3,27,7,62.59,0.84,0.56,35,52.86
City Center,Penthouse,average,3727,4,1,25,2,36.09,1.79,1.24,38,60.01
Outskirts,Apartment,good,2871,5,1,35,0,64.7,0.73,1.1,78,46.02
Suburbs,Villa,average,522,2,1,18,6,70.42,1.25,1.45,72,38.32
Outskirts,Penthouse,good,5299,5,4,27,8,52.82,1.58,1.02,97,42.57
Suburbs,Penthouse,good,5113,3,4,13,0,76.26,1.02,1.23,45,50.75
City Center,Apartment,good,3904,1,4,7,3,61.3,0.97,1.31,29,35.02
Near Park,Penthouse,poor,2068,6,1,37,9,58.43,1.63,0.52,85,53.51
Commercial Area,Apartment,average,4215,1,2,9,9,12.72,1.18,0.56,98,30.45
Suburbs,Penthouse,poor,3168,3,1,25,6,25.55,0.71,1.27,94,9.08
Commercial Area,Villa,poor,2396,3,1,6,3,66.15,0.99,1.47,35,44.54
City Center,Apartment,poor,4313,2,3,9,2,17.84,1.43,0.7,74,43.88
City Center,Apartment,excellent,2706,5,1,38,1,4.89,1.74,1.43,10,42.5
City Center,Penthouse,average,2584,6,1,13,2,14.95,1.24,1.38,98,32.75
Near Park,Studio,excellent,5196,3,2,5,1,70.83,1.05,0.76,18,53.77
Suburbs,Apartment,poor,5751,1,2,20,9,63.55,1.13,1.16,80,39.88
Commercial Area,Studio,excellent,1899,6,1,8,3,96.36,0.82,0.58,34,60.96
Outskirts,House,poor,4843,4,1,24,1,0.14,1.19,0.57,68,35.46
City Center,Villa,excellent,1024,6,2,4,3,70.38,1.06,0.95,6,45.13
Commercial Area,Studio,good,4772,1,3,23,9,70.82,0.53,1.31,38,26.37
Commercial Area,Villa,good,4062,1,4,18,8,44.29,1.18,0.52,39,42.01
Near Park,Apartment,poor,2298,3,1,26,4,31.54,0.79,1.24,67,29.93
Suburbs,Villa,good,2213,5,1,28,2,91.04,0.5,1.39,78,48.56
Near Park,Studio,good,379,3,3,19,0,93.08,1.71,0.84,91,87.8
Near Park,Apartment,good,5833,1,4,1,2,57.49,1.25,0.7,75,50.69
Commercial Area,Studio,good,993,1,2,39,8,26.04,1.96,1.1,57,44.89
Suburbs,Apartment,average,4863,3,2,3,1,45.98,1.75,1.28,42,42.01
Suburbs,Studio,excellent,2028,2,2,10,7,34.6,1.86,0.93,56,44.53
Suburbs,Apartment,poor,3024,4,1,38,2,50.29,1.53,0.75,90,56.71
City Center,Studio,excellent,5484,3,4,35,7,35.97,1.42,1.46,3,23.36
Suburbs,House,excellent,2489,3,2,16,4,70.07,0.89,1.35,37,47.7
Commercial Area,Studio,good,825,3,3,37,2,27.51,1.36,0.97,85,57.63
City Center,Studio,good,5351,3,3,1,8,21.23,1.54,1.1,20,31.8
Outskirts,House,good,5045,6,4,14,1,56.25,0.67,0.71,41,48.58
Near Park,Villa,excellent,3110,1,4,21,9,82.82,1.35,0.85,4,57.56
Suburbs,Apartment,good,3409,6,3,38,9,73.51,0.74,0.73,62,39.86
Outskirts,Studio,excellent,4390,2,4,29,0,47.55,0.85,0.72,41,53.07
Suburbs,Villa,poor,2438,1,1,0,8,57.39,1.94,1.36,63,42.09
Near Park,Penthouse,average,2714,3,2,10,0,69.67,0.97,0.9,51,59.79
Commercial Area,Villa,poor,367,5,1,36,7,95.01,0.84,1.14,72,53.89
Commercial Area,Penthouse,poor,2707,6,2,9,5,72.21,1.91,1.04,84,61.06
Near Park,Apartment,good,5412,1,1,39,0,30.06,1.28,0.75,34,54.72
Outskirts,Penthouse,excellent,3132,3,4,2,7,44.81,1.49,1.26,74,34.08
City Center,House,good,1279,4,3,5,6,85.87,1.84,1.21,29,59.16
City Center,House,good,3809,4,4,4,8,23.58,0.58,1.4,70,6.55
Suburbs,Villa,average,3302,2,1,0,9,94.79,1.01,0.76,96,48.21
Near Park,House,good,2270,1,2,16,0,56.15,1.37,1.31,27,59.05
Near Park,House,excellent,497,4,4,36,0,73.63,1.89,1.3,7,75.7
City Center,Villa,good,5098,2,2,5,2,82.94,0.84,0.54,43,61.91
Outskirts,Studio,excellent,2419,2,3,15,5,10.69,1.58,0.69,6,35.23
Near Park,Apartment,poor,900,2,2,4,7,55.78,1.27,0.76,3,48.48
Commercial Area,Penthouse,poor,5039,4,2,33,2,17.73,0.55,1.2,46,24.01
Commercial Area,Villa,average,4457,5,1,15,4,67.67,0.57,0.53,31,45.15
Near Park,House,poor,3635,2,1,18,4,67.63,1.16,0.86,45,55.83
Outskirts,Penthouse,excellent,1180,6,3,39,0,72.39,1.37,0.63,28,79.55
Commercial Area,Studio,poor,4189,1,3,14,1,99.09,1.92,1.2,75,73.74
Outskirts,Apartment,average,3728,2,2,38,5,74.91,1.87,0.77,12,75.46
City Center,Apartment,poor,1027,1,2,8,9,16.64,1.8,0.53,30,44.0
Suburbs,House,poor,3709,1,1,10,3,50.25,1.19,1.01,6,41.19
City Center,Studio,poor,489,5,1,39,0,17.65,1.39,0.72,65,54.64
Suburbs,Apartment,average,3394,6,3,2,9,27.34,0.75,0.86,92,17.32
Commercial Area,Penthouse,excellent,2946,3,2,27,7,74.57,1.74,0.5,77,57.45
Suburbs,Penthouse,poor,2658,1,2,34,5,37.15,1.43,1.3,62,42.28
Suburbs,House,average,4764,6,1,14,5,8.48,1.08,0.65,76,26.88
Near Park,Studio,good,2615,5,1,17,6,87.79,0.6,0.51,99,52.09
Suburbs,Penthouse,poor,5548,6,3,26,6,77.11,0.77,0.56,41,51.99
Near Park,Apartment,excellent,3395,1,1,24,6,27.62,0.7,1.14,76,17.29
Suburbs,Penthouse,poor,2792,2,3,27,3,70.07,1.67,1.47,6,56.45
Near Park,Apartment,average,2810,6,2,38,7,63.77,0.65,1.01,28,44.98
Commercial Area,Studio,excellent,1719,2,4,6,0,0.31,1.91,0.66,41,56.17
Commercial Area,House,poor,5351,2,2,35,8,1.34,1.42,1.25,32,23.99
Suburbs,House,poor,2041,6,2,4,3,13.05,1.2,0.64,26,23.97
Outskirts,House,poor,3537,5,1,14,3,73.58,0.59,1.44,5,35.68
Commercial Area,Villa,excellent,5116,5,3,12,5,63.76,0.91,0.86,15,52.55
City Center,House,excellent,5019,3,2,26,7,16.58,1.41,1.12,16,34.1
City Center,House,excellent,1398,6,4,23,2,85.27,0.56,0.58,63,59.74
Near Park,Apartment,good,2859,6,4,36,0,80.93,0.6,1.23,9,59.97
Outskirts,Studio,average,4679,5,2,29,3,32.22,1.94,0.87,86,56.71
Near Park,Studio,poor,5974,4,1,6,8,95.65,1.72,0.84,4,62.93
Suburbs,Penthouse,poor,503,4,2,31,4,74.26,1.55,1.07,17,60.14
Commercial Area,House,poor,5776,6,2,0,0,60.35,1.55,1.44,12,53.65
Outskirts,Studio,good,3228,6,2,32,6,25.41,1.19,0.83,6,21.9
Near Park,Studio,poor,2943,3,3,15,9,97.35,1.27,1.14,64,50.62
Near Park,Studio,excellent,2183,3,3,26,0,2.42,0.61,1.44,24,20.69
City Center,Studio,poor,2404,2,4,35,2,62.64,0.54,1.33,76,38.24
Suburbs,Apartment,average,1659,5,1,13,1,81.06,1.18,0.6,22,62.71
Near Park,House,poor,2227,4,3,31,2,86.64,0.72,1.32,65,52.62
City Center,Studio,excellent,5236,2,2,20,7,36.22,1.31,0.67,13,37.42
Outskirts,Apartment,average,5976,1,1,24,4,27.95,1.01,0.79,57,40.84
Near Park,Villa,good,3737,6,3,2,1,91.1,1.06,0.78,11,56.49
City Center,Penthouse,good,5966,1,2,0,7,61.43,0.79,1.01,34,33.22
Suburbs,Apartment,excellent,5778,1,2,11,9,43.8,1.06,1.05,30,22.26
Commercial Area,Penthouse,poor,4144,4,4,12,3,70.98,1.75,0.73,94,69.11
Outskirts,Penthouse,good,2288,4,3,14,0,32.16,1.31,0.85,3,47.05
Near Park,Villa,excellent,5390,2,4,2,7,11.78,1.59,0.85,65,29.43
City Center,Villa,average,3221,2,3,29,0,45.48,1.06,1.5,79,45.38
Near Park,Villa,good,2117,6,3,6,9,71.86,1.61,1.3,29,43.51
Commercial Area,Apartment,average,1908,3,2,32,6,47.4,0.8,1.2,61,27.88
Near Park,Villa,poor,4904,1,3,8,0,8.29,0.78,0.71,39,35.45
Near Park,Studio,poor,5611,5,3,6,2,15.55,0.76,1.17,36,19.7
City Center,Apartment,average,1625,5,3,28,2,83.73,0.6,1.05,19,58.36
Commercial Area,House,excellent,3849,1,2,6,4,3.71,1.59,1.0,75,28.75
Outskirts,Villa,good,1222,6,1,1,8,75.97,0.55,0.67,8,34.03
City Center,Apartment,good,2022,6,4,25,7,92.64,1.87,1.41,1,58.0
Commercial Area,Villa,excellent,2139,5,2,10,7,35.0,1.17,0.75,9,32.28
Commercial Area,Penthouse,average,4248,4,3,8,9,62.8,1.28,0.54,22,55.1
Near Park,Studio,good,548,4,4,38,9,99.58,1.17,0.57,7,68.92
Suburbs,Penthouse,poor,4853,6,3,25,6,18.57,0.5,1.22,93,6.05
Suburbs,Villa,excellent,3882,3,4,22,1,83.02,1.42,1.08,27,68.88
Outskirts,Apartment,poor,5480,2,1,26,2,74.7,1.58,0.67,91,78.96
Near Park,Studio,average,5979,3,1,2,0,79.31,0.75,0.76,31,57.77
Suburbs,Penthouse,good,2472,3,2,26,3,1.72,1.45,1.47,25,24.75
City Center,Studio,excellent,2027,1,4,12,3,73.07,0.95,0.61,79,54.14
Outskirts,Studio,poor,5679,1,3,16,4,49.92,0.87,0.89,22,39.79
Near Park,Villa,good,2321,3,2,22,1,66.06,0.51,0.98,14,46.3
City Center,Studio,poor,5492,4,4,5,0,63.6,0.54,0.68,90,49.87
Suburbs,House,poor,3021,6,2,21,3,33.06,1.21,0.54,67,48.23
Suburbs,House,excellent,4331,5,1,25,1,67.54,1.07,0.88,28,55.47
Suburbs,Penthouse,average,4336,6,1,26,8,79.23,1.4,1.24,14,52.35
Suburbs,Penthouse,poor,4170,2,4,4,1,83.24,0.73,0.82,37,56.95
Commercial Area,Apartment,average,396,5,2,30,0,24.72,1.56,1.23,87,45.62
Outskirts,Villa,excellent,1782,5,3,37,8,64.1,1.01,0.93,62,50.46
Outskirts,Penthouse,average,2896,5,2,35,4,76.8,1.7,0.97,33,71.74
Suburbs,Apartment,poor,4750,3,3,21,2,91.75,1.92,0.63,35,90.76
Outskirts,Penthouse,poor,2653,1,3,10,6,85.81,1.96,1.18,17,70.55
City Center,Apartment,poor,2138,5,1,31,5,81.68,1.18,0.73,76,64.07
City Center,Villa,poor,4285,4,3,30,7,5.03,1.81,1.21,61,27.02
Outskirts,Villa,good,2021,1,2,2,3,37.39,1.97,0.87,24,64.88
Suburbs,Penthouse,good,5538,6,1,3,4,51.13,1.36,1.19,85,39.52
Near Park,House,excellent,3785,6,2,24,3,73.31,1.73,0.92,95,75.9
Suburbs,Studio,poor,4088,4,3,23,2,45.08,1.31,1.32,7,46.3
Commercial Area,Penthouse,good,1941,5,4,19,1,60.19,1.49,0.86,54,60.62
Near Park,Apartment,poor,5412,4,1,34,6,8.52,1.9,0.83,85,34.7
Commercial Area,Villa,good,2417,3,2,17,2,26.35,1.89,0.81,25,55.2
Outskirts,Penthouse,good,3032,3,3,10,5,83.04,1.32,0.86,94,63.18
Commercial Area,Villa,excellent,2478,5,2,33,3,39.62,0.75,0.69,32,49.35
Outskirts,Penthouse,poor,4872,4,2,18,0,3.01,0.73,1.44,78,12.12
Commercial Area,Villa,poor,484,4,4,21,4,16.69,1.5,0.95,52,46.09
Near Park,House,poor,3072,5,1,30,0,95.43,1.5,1.33,72,77.46
Commercial Area,Apartment,excellent,4952,2,2,2,9,74.65,0.52,1.26,21,32.41
Suburbs,Penthouse,poor,4467,4,3,33,3,39.82,1.08,0.86,62,37.9
Outskirts,Villa,average,3036,2,2,31,3,57.13,1.76,1.21,45,54.79
City Center,Penthouse,average,1768,5,1,7,1,61.64,0.57,0.83,86,43.21
Commercial Area,Apartment,excellent,3575,5,3,28,7,55.6,0.83,1.27,35,20.79
Outskirts,Penthouse,average,3029,4,4,30,8,28.43,1.98,0.75,91,48.51
City Center,Studio,poor,849,4,2,23,3,28.82,1.57,0.67,62,50.1
Outskirts,Villa,good,1515,3,3,32,9,96.81,0.59,1.33,85,38.58
Outskirts,Apartment,excellent,2315,4,3,8,8,23.36,0.98,0.85,96,15.2
City Center,House,average,2182,1,1,7,7,98.41,1.17,0.57,86,59.78
City Center,Studio,poor,1981,5,2,9,1,59.78,1.72,1.1,80,61.07
Near Park,Penthouse,poor,1135,3,4,14,4,89.54,1.28,0.68,75,62.71
Commercial Area,Penthouse,average,2603,2,1,21,9,67.25,1.88,0.91,2,58.74
Commercial Area,Studio,poor,3224,3,1,32,0,43.41,1.42,1.08,87,51.51
Outskirts,House,excellent,2393,3,3,4,6,12.11,0.53,1.0,6,8.94
Suburbs,House,excellent,4132,4,1,18,9,24.89,0.92,0.67,39,14.79
Suburbs,Penthouse,average,5146,2,4,24,3,67.78,0.99,0.87,98,54.55
Outskirts,Penthouse,poor,2134,6,2,22,6,74.63,1.52,1.23,56,50.81
Near Park,House,excellent,1621,6,1,38,9,98.49,1.17,1.34,43,55.56
City Center,House,excellent,3702,3,4,15,4,2.43,1.48,1.18,1,22.41
Outskirts,House,average,1342,5,3,37,0,8.7,1.94,1.48,30,50.51
Commercial Area,Penthouse,excellent,826,4,4,38,4,32.91,0.76,1.38,46,24.5
Suburbs,Villa,poor,716,4,3,25,7,92.71,1.84,1.46,39,63.68
Suburbs,Studio,excellent,3028,4,3,11,2,82.13,0.74,1.24,61,49.77
Suburbs,House,excellent,3979,1,3,22,4,60.04,1.55,0.96,50,54.33
Near Park,Penthouse,poor,5760,1,3,2,8,6.63,0.55,1.34,13,2.24
Commercial Area,Apartment,average,5923,6,1,31,6,91.76,1.08,0.67,44,70.31
Near Park,Penthouse,average,4066,1,2,27,1,7.28,1.91,0.91,12,53.05
City Center,Villa,average,5796,4,3,24,5,25.58,1.83,1.05,10,43.39
Outskirts,Villa,excellent,1017,4,1,2,5,68.35,1.89,0.99,88,62.57
Outskirts,House,average,2172,6,1,30,1,19.04,1.28,1.15,36,36.99
Suburbs,Studio,poor,4136,2,4,16,3,22.88,1.72,1.49,4,39.64
Suburbs,Penthouse,poor,3205,6,3,4,7,99.99,0.5,0.79,51,51.93
City Center,Studio,poor,1905,6,1,12,1,5.07,1.59,1.05,34,41.91
Near Park,Apartment,poor,4786,2,1,13,6,21.56,1.41,0.56,47,36.36
Commercial Area,Studio,average,2016,5,2,23,3,3.56,1.3,1.46,39,26.86
City Center,Studio,excellent,2473,1,3,5,9,35.64,1.69,1.32,95,45.13
Outskirts,House,average,3044,4,4,18,8,32.31,1.57,1.47,74,24.76
Outskirts,Apartment,average,4923,5,4,15,5,47.29,1.62,0.95,9,56.31
Near Park,Villa,good,3196,5,1,3,2,58.7,1.48,1.27,82,50.4
City Center,Studio,average,2717,5,4,37,4,95.68,1.7,0.67,76,87.81
Commercial Area,Apartment,excellent,1933,2,1,23,4,79.37,0.89,0.77,24,45.44
City Center,Apartment,average,4644,1,2,7,0,91.6,0.53,0.85,2,60.22
City Center,Villa,average,468,5,1,27,6,61.53,1.04,0.79,29,47.42
Near Park,House,poor,422,5,4,10,0,62.29,1.83,0.77,6,69.12
Commercial Area,Apartment,good,5349,1,4,6,2,78.56,0.58,1.48,58,42.61
Outskirts,Villa,excellent,4688,3,3,31,9,1.42,0.95,1.14,60,10.99
Suburbs,Penthouse,excellent,3434,5,3,1,1,83.62,1.44,0.51,9,71.36
Commercial Area,Apartment,excellent,4898,6,2,26,9,2.74,1.69,1.32,21,17.26
Outskirts,Penthouse,average,5446,4,3,31,1,78.21,1.12,0.97,78,64.95
Near Park,Penthouse,excellent,2882,6,2,32,9,6.74,0.7,1.26,92,11.73
Commercial Area,Apartment,good,692,2,4,31,0,99.78,0.64,1.21,15,64.69
Commercial Area,Villa,good,3792,6,2,5,6,91.17,1.6,0.85,1,63.33
Outskirts,Penthouse,average,673,6,1,38,6,96.7,0.86,0.55,49,62.29
Outskirts,House,poor,5743,4,3,20,3,34.69,0.52,1.44,48,16.01
City Center,Studio,poor,2122,5,4,8,4,38.96,0.86,1.27,59,27.28
City Center,Penthouse,poor,5899,3,4,33,2,34.01,1.18,0.58,57,52.38
Commercial Area,Penthouse,poor,4864,1,2,38,3,53.0,1.15,0.82,23,58.27
Suburbs,Studio,average,3072,2,3,16,8,94.92,1.54,0.56,31,67.85
Near Park,Villa,average,2231,1,2,5,5,81.99,1.5,0.82,32,59.03
Outskirts,House,average,1274,2,3,5,4,52.23,1.19,0.93,16,51.0
City Center,House,poor,1082,1,1,8,4,93.51,1.05,1.39,17,48.5
Near Park,Penthouse,poor,1215,2,3,12,2,63.5,0.66,1.08,39,36.73
Commercial Area,Apartment,excellent,4549,1,1,18,0,24.91,0.75,0.94,36,32.7
Outskirts,Apartment,poor,1067,1,3,39,4,81.65,0.52,1.06,38,44.93
Outskirts,Penthouse,average,2652,1,3,39,2,58.19,1.47,1.34,98,53.83
City Center,Apartment,excellent,4163,3,3,24,6,61.47,1.13,1.26,34,41.18
Suburbs,House,poor,5918,2,1,22,6,74.2,1.87,1.44,59,57.75
Outskirts,House,good,640,3,4,38,9,46.23,1.46,1.37,92,31.83
Suburbs,Studio,average,5407,3,2,35,0,86.64,1.37,1.29,89,66.99
Near Park,House,excellent,5533,6,4,8,7,32.81,1.74,0.95,75,45.7
Outskirts,Villa,excellent,4973,1,4,16,4,6.43,1.37,0.86,56,28.01
Outskirts,House,poor,2048,3,1,24,4,9.38,1.55,0.98,27,39.91
Suburbs,Penthouse,excellent,1802,1,2,11,5,69.71,1.78,0.96,31,57.19
City Center,Apartment,excellent,2350,2,1,19,9,31.81,1.71,1.39,19,34.64
Commercial Area,Apartment,good,2047,5,1,3,1,74.87,1.63,1.09,82,68.44
Near Park,House,poor,4417,5,1,24,6,1.73,1.82,1.38,26,25.91
Outskirts,House,excellent,2202,4,2,26,0,9.68,2.0,0.97,6,47.84
City Center,Apartment,poor,4150,5,2,7,0,17.89,0.76,1.09,33,24.69
Outskirts,Apartment,average,1152,4,1,11,7,18.59,0.96,1.01,67,21.65
Near Park,House,excellent,3818,1,3,17,6,31.73,0.71,1.03,92,26.29
Commercial Area,Villa,good,2611,1,1,28,0,4.15,1.95,0.78,17,50.63
Outskirts,Villa,average,1644,5,3,36,3,61.47,1.5,0.5,32,71.18
Suburbs,Apartment,good,441,3,1,37,5,12.93,0.86,0.76,59,34.61
City Center,Studio,good,934,5,3,11,4,14.6,1.47,0.87,16,43.25
Commercial Area,Villa,excellent,3296,2,2,26,6,8.04,0.73,0.7,9,18.61
Outskirts,Penthouse,average,1199,2,1,8,0,16.61,1.91,0.93,60,49.75
Commercial Area,Apartment,excellent,814,5,2,14,7,10.77,0.85,1.43,73,18.34
Suburbs,Villa,average,340,4,2,34,3,58.8,1.68,0.69,8,71.8
Outskirts,House,average,1027,2,1,17,3,38.94,0.79,1.43,69,30.92
Commercial Area,Studio,good,3168,2,3,9,0,15.14,1.16,1.5,30,24.72
Outskirts,House,good,3829,1,3,7,0,39.87,1.99,0.98,77,63.89
Outskirts,House,good,2373,2,2,10,8,32.45,1.46,1.34,47,18.34
