location,property_type,condition,area,bedrooms,bathrooms,age,amenities_score,demand_score,price
satellite town,house,old,4377,2,5,4,4.99,1.0,76121013
model town,plot,new,5456,1,4,31,3.42,0.51,48345736
wapda town,plot,new,3536,3,4,7,3.46,0.99,61761718
aziz bhatti town,flat,new,3606,4,2,23,1.96,0.86,89329031
model town,plot,old,5525,4,2,16,4.8,0.82,64695064
model town,house,old,4935,4,3,1,2.08,0.64,49252831
model town,plot,new,3798,3,3,26,4.94,1.0,66418544
satellite town,house,used,1468,4,2,25,2.66,0.61,13964454
aziz bhatti town,flat,old,4693,2,1,18,3.91,0.52,56358069
satellite town,plot,new,648,1,2,3,3.01,0.92,11304167
satellite town,house,old,2278,2,2,29,1.38,0.98,28923320
satellite town,plot,used,2140,3,2,18,1.39,1.09,33587189
wapda town,plot,old,4380,5,5,34,3.06,0.42,26885011
aziz bhatti town,flat,new,2259,3,4,24,2.26,1.18,78082288
wapda town,plot,used,3355,2,3,24,1.3,0.67,30044533
wapda town,plot,used,845,2,1,33,2.01,0.73,8145639
aziz bhatti town,flat,old,4749,3,2,6,1.01,0.75,83365786
wapda town,plot,new,4700,5,4,18,3.84,0.59,49954173
aziz bhatti town,flat,used,771,5,2,17,4.05,0.92,20086729
model town,plot,used,3422,3,3,33,4.02,0.83,43419500
satellite town,house,new,3407,1,3,14,3.43,1.16,74960091
wapda town,house,new,3933,4,2,28,1.83,0.58,35269111
aziz bhatti town,house,used,1976,4,1,15,1.79,1.06,58310822
university road,flat,new,4629,3,1,0,1.3,0.58,66165391
wapda town,flat,used,1436,4,1,9,3.5,1.12,25119948
wapda town,flat,new,4007,6,3,0,2.83,1.09,88224290
aziz bhatti town,flat,new,1414,3,4,13,3.31,0.46,21236723
university road,flat,used,3722,5,5,14,1.81,0.71,67885934
university road,flat,used,5726,6,3,30,1.62,1.06,141052024
model town,plot,used,1639,2,5,18,3.13,1.14,29601986
wapda town,house,new,4245,6,3,6,2.47,1.07,87461443
satellite town,flat,old,5639,3,5,30,3.33,1.12,93496838
wapda town,plot,new,3007,3,4,6,3.73,0.88,46983019
satellite town,plot,used,1896,4,2,17,2.86,0.5,14854443
satellite town,flat,used,991,6,4,12,4.56,0.79,16108831
aziz bhatti town,house,used,1268,6,3,12,3.11,0.81,33299517
wapda town,flat,old,3359,5,2,31,4.03,0.56,25802420
aziz bhatti town,house,old,2641,3,5,33,3.31,0.88,57685185
model town,house,old,1557,4,1,25,4.66,1.03,22827611
satellite town,flat,old,1844,6,2,29,1.08,0.8,21816169
university road,house,new,5641,3,1,21,3.43,0.88,113940194
satellite town,house,used,4452,3,2,22,2.45,0.97,63813263
model town,house,new,2159,5,5,28,1.81,0.72,29390571
satellite town,flat,new,5802,2,3,11,4.3,0.7,78612320
aziz bhatti town,house,old,5199,2,4,0,2.76,0.92,128814041
wapda town,house,new,1974,4,1,28,2.86,0.67,20964493
university road,plot,new,2928,6,4,33,2.9,0.56,45304566
aziz bhatti town,flat,new,5600,5,1,18,4.4,0.76,136082801
wapda town,house,old,3951,5,2,19,2.79,1.11,58424290
university road,flat,new,5565,5,4,5,1.59,0.98,157840886
model town,flat,used,1395,5,1,22,3.77,1.1,24906799
satellite town,plot,new,4125,5,2,17,2.56,1.12,84331098
university road,plot,new,3945,3,4,34,1.54,0.98,89872711
model town,house,new,5388,3,4,8,3.07,1.11,112015528
wapda town,house,used,3872,4,1,6,2.3,0.98,57592883
university road,house,old,1308,1,2,15,2.51,1.07,27450235
model town,flat,used,3576,6,1,24,4.29,0.81,49749308
wapda town,plot,used,4106,3,5,14,3.11,1.02,67282001
aziz bhatti town,plot,used,1706,6,2,4,1.87,0.55,29811984
satellite town,house,new,1676,3,3,33,3.1,1.17,33951326
model town,plot,used,5020,1,3,16,2.0,0.76,55584984
aziz bhatti town,flat,old,2569,6,4,23,4.8,1.06,78251285
wapda town,house,new,2100,6,3,0,3.67,1.04,45001785
university road,plot,new,1920,1,1,3,4.06,0.54,27301070
satellite town,house,new,3852,1,2,4,3.95,0.43,32110049
wapda town,flat,used,3705,1,1,29,3.86,0.7,35792686
model town,flat,old,749,5,4,28,2.73,0.68,7694834
satellite town,house,new,5757,1,4,32,3.11,0.61,62588526
aziz bhatti town,house,new,4058,2,4,29,3.94,1.06,131130893
satellite town,plot,old,3084,4,2,24,4.91,1.18,53833319
aziz bhatti town,flat,old,3079,1,2,16,4.99,0.52,37906238
wapda town,flat,used,4081,3,5,7,2.35,1.07,68884328
university road,house,old,881,5,2,16,4.05,1.0,18135577
satellite town,plot,new,4380,4,1,8,1.83,0.92,74975668
university road,house,used,4174,2,4,15,4.1,1.13,113128838
university road,house,old,3315,6,5,12,4.42,0.65,55413152
satellite town,house,used,1547,2,5,10,4.93,0.94,26982213
satellite town,flat,used,1536,2,1,12,3.02,0.7,17507212
university road,house,old,4624,5,4,22,4.2,0.61,61761750
model town,house,new,2529,2,2,23,4.53,0.66,28074921
model town,plot,old,5815,1,4,15,2.42,0.42,36190013
satellite town,house,used,2469,4,4,12,3.15,0.92,41292708
university road,plot,new,3476,6,4,22,1.1,0.57,52392347
university road,house,new,1811,5,1,22,2.59,0.62,27787974
wapda town,flat,old,4278,6,5,9,1.44,0.85,58063838
university road,house,used,3148,5,2,1,4.48,0.47,38637360
model town,flat,new,4798,2,5,7,3.96,1.12,105686210
wapda town,house,used,5134,4,2,28,1.47,0.87,61115798
model town,flat,used,1080,2,5,20,4.97,1.0,17857711
aziz bhatti town,flat,new,4678,5,1,12,2.17,1.0,154228682
satellite town,house,old,3930,2,5,13,1.0,0.96,57367310
aziz bhatti town,plot,new,791,1,1,31,1.5,0.66,14161023
satellite town,flat,new,1442,4,5,28,4.8,0.68,19626444
model town,flat,old,4680,4,4,26,1.76,0.64,42190703
model town,house,old,5972,5,5,24,4.04,0.67,64113229
aziz bhatti town,plot,used,625,6,3,31,2.21,0.46,8392217
satellite town,flat,used,5736,3,2,25,1.29,0.99,81564492
satellite town,house,used,2544,1,4,23,2.53,0.82,32738463
wapda town,flat,used,2966,2,1,10,4.25,0.64,28734608
university road,house,used,4850,5,3,23,4.32,0.42,48289923
wapda town,house,used,613,6,4,8,1.38,0.79,8343065
model town,plot,old,2775,1,4,31,4.31,1.06,41929965
aziz bhatti town,house,new,2214,3,2,26,1.49,0.75,45030406
satellite town,plot,used,2155,4,3,24,3.51,0.63,22251791
wapda town,house,old,3720,1,3,21,4.56,0.75,36276692
aziz bhatti town,house,new,3903,5,4,30,3.73,0.45,58608649
aziz bhatti town,flat,used,4866,4,1,9,1.16,1.06,141375557
university road,plot,old,4682,3,4,1,3.54,0.59,61209935
satellite town,flat,old,3744,4,2,15,2.99,0.6,34541125
aziz bhatti town,plot,new,2700,5,3,13,2.39,0.94,86645963
satellite town,plot,new,1828,6,4,24,1.5,1.04,37475360
wapda town,flat,old,5079,6,2,26,1.47,0.76,52062045
aziz bhatti town,plot,used,2158,4,5,27,1.36,1.08,64378867
aziz bhatti town,plot,used,1430,1,5,7,3.43,0.54,23213609
wapda town,flat,old,4666,1,1,18,3.51,0.87,50009610
satellite town,plot,new,2416,3,5,5,1.38,0.73,35037706
satellite town,flat,old,4313,6,5,4,2.37,1.03,83555318
aziz bhatti town,house,used,2483,2,1,19,2.21,0.64,39161605
wapda town,flat,old,1902,5,1,18,2.38,0.93,23333238
model town,plot,old,4214,3,2,17,3.93,1.16,65159090
satellite town,house,used,5476,3,4,32,1.1,0.72,59745569
model town,house,old,3626,1,4,10,4.38,0.64,36014464
aziz bhatti town,house,new,1406,2,4,13,2.52,0.84,37840703
model town,flat,used,4927,1,4,29,2.27,1.1,81796491
model town,flat,used,1619,4,1,32,1.61,0.73,17386457
satellite town,house,used,3682,1,2,6,4.49,0.42,26061186
aziz bhatti town,plot,old,2627,1,2,8,3.38,0.44,28656923
model town,plot,used,1077,3,4,19,4.42,0.45,7695609
satellite town,house,new,3788,5,1,26,1.6,0.6,40528216
model town,plot,old,5784,2,5,25,4.86,0.75,64394129
satellite town,plot,old,1762,6,1,15,2.56,0.51,14978339
aziz bhatti town,flat,new,5558,4,4,22,2.65,0.49,84555916
wapda town,plot,new,3508,4,1,34,3.4,0.49,27598451
satellite town,flat,used,2853,5,5,26,3.78,0.76,39649239
satellite town,house,old,5143,4,1,29,4.13,1.2,89674418
model town,plot,used,1752,6,1,1,3.7,0.72,24157774
aziz bhatti town,plot,old,2175,5,5,22,3.73,1.05,62971542
university road,flat,old,2389,5,1,4,4.02,1.08,59998189
university road,flat,new,5169,3,4,25,3.47,0.8,100704713
wapda town,house,used,5678,4,1,27,2.93,0.89,71639975
aziz bhatti town,house,old,3485,1,3,11,3.46,1.14,101643758
satellite town,plot,used,3345,3,3,26,3.97,1.06,55945363
university road,flat,old,4348,5,2,15,1.37,0.74,67510994
wapda town,flat,used,5497,2,1,0,3.96,0.89,76503516
aziz bhatti town,plot,old,1432,1,5,23,1.79,1.11,38035566
wapda town,flat,used,5545,3,4,3,1.19,0.68,58470353
university road,flat,used,5209,1,5,12,4.17,0.46,59194320
model town,flat,new,1982,5,4,28,3.68,0.66,25154035
model town,flat,used,5830,6,4,19,1.75,0.91,90920195
aziz bhatti town,plot,new,3386,2,3,5,2.66,1.01,111103959
wapda town,house,new,3634,1,3,1,3.39,1.15,74387987
satellite town,house,used,4230,5,4,18,1.69,0.65,46504983
university road,plot,old,1375,5,3,6,2.14,0.77,23317899
model town,house,new,4794,4,1,28,3.27,1.06,87149030
model town,flat,used,4294,6,2,0,2.12,0.97,76815582
wapda town,plot,used,3790,1,1,16,4.43,1.0,53001103
model town,house,used,5291,2,4,23,4.62,0.44,37136507
wapda town,flat,old,4251,6,1,26,4.13,0.67,40939410
university road,house,new,3784,5,4,1,4.67,1.01,119004917
wapda town,plot,new,2877,1,4,24,2.98,0.63,29087246
model town,house,old,2383,4,1,13,1.82,0.62,21372326
wapda town,house,new,1020,2,1,17,2.86,0.53,8161108
model town,house,old,1221,6,1,19,3.69,1.15,21404205
aziz bhatti town,plot,used,2853,2,2,12,2.59,1.02,78669107
model town,flat,new,613,1,2,23,3.24,1.14,11405815
model town,plot,old,2931,3,5,17,1.89,1.18,47863344
model town,house,new,2853,4,1,8,3.16,0.62,32887635
aziz bhatti town,plot,old,2218,2,4,29,1.96,0.8,41463029
satellite town,house,new,5981,6,4,24,2.57,0.61,73818450
model town,flat,used,4041,6,3,29,4.12,0.79,56253410
satellite town,flat,new,5915,6,3,11,3.81,1.15,149700279
university road,house,new,3237,1,3,31,4.08,0.63,48950972
wapda town,plot,old,2887,5,3,33,4.06,0.78,31837847
satellite town,house,new,4988,4,5,28,2.3,0.53,49893700
university road,plot,new,2349,1,2,20,4.6,1.0,55403175
wapda town,plot,old,3744,6,1,6,3.23,0.56,32074016
model town,house,old,3608,3,1,6,2.01,0.72,35955271
model town,flat,new,3292,2,1,25,1.01,0.52,26464813
model town,flat,old,4401,1,4,34,4.53,1.05,66205916
aziz bhatti town,plot,old,1397,1,5,25,1.81,0.55,18394834
aziz bhatti town,house,old,3608,6,5,1,1.55,1.09,121617880
aziz bhatti town,house,used,5161,2,4,5,3.56,1.1,173133346
aziz bhatti town,house,old,5433,3,4,12,3.59,0.73,104744670
university road,flat,old,5994,3,3,31,3.28,1.12,127085676
university road,flat,new,2803,4,1,3,4.13,0.83,64428884
model town,plot,old,1311,3,3,9,3.41,1.16,22420224
wapda town,flat,old,3400,1,2,17,1.69,0.92,36885257
aziz bhatti town,flat,old,1762,1,4,3,4.74,0.63,31312684
wapda town,house,old,5085,1,1,15,2.36,0.62,41074636
university road,house,used,5015,4,2,17,2.96,0.57,60829984
aziz bhatti town,flat,old,1894,5,5,20,4.05,0.61,32095625
university road,plot,new,1905,2,2,29,1.92,0.91,38374007
university road,house,used,1464,2,3,1,1.62,0.81,27089181
satellite town,plot,used,5797,5,2,10,3.99,0.43,45677633
university road,flat,old,748,3,5,27,1.05,0.74,10503933
model town,flat,new,2963,3,5,0,3.65,1.19,71598970
university road,house,used,3898,1,3,34,2.22,1.19,95122036
aziz bhatti town,house,old,4036,1,2,23,4.43,1.11,104714701
model town,house,old,2656,4,4,2,2.62,1.17,50526392
university road,house,old,5598,1,2,7,2.29,0.94,102661461
model town,flat,new,5874,2,3,25,4.01,1.19,119653302
university road,flat,used,5595,1,4,10,3.34,0.85,112055980
model town,house,used,805,5,1,30,3.39,0.62,8029024
wapda town,plot,old,4234,1,2,18,2.1,1.14,57490476
satellite town,house,old,4490,5,2,33,3.43,0.42,28239915
model town,house,used,3281,5,5,15,2.21,0.76,46203288
aziz bhatti town,house,old,4461,4,5,30,3.98,0.6,70861342
satellite town,plot,old,1886,1,1,8,2.03,0.92,24828200
satellite town,house,new,3806,6,2,33,3.06,0.62,45572739
university road,flat,used,2910,3,5,8,1.82,0.45,30588931
model town,plot,new,2442,3,5,34,3.99,0.91,40236306
satellite town,flat,old,5537,5,1,27,1.93,0.47,37593161
aziz bhatti town,plot,old,1251,2,2,27,1.15,0.42,11353658
aziz bhatti town,plot,used,788,3,5,20,2.36,1.02,21668787
aziz bhatti town,house,new,5684,6,3,20,1.98,0.56,103482835
university road,flat,old,2695,5,3,23,2.42,0.47,25839628
wapda town,plot,used,4157,3,5,32,3.02,0.58,35558745
model town,flat,old,4041,2,5,31,4.22,0.71,41968173
satellite town,plot,new,1429,5,3,32,2.48,0.52,13943820
model town,house,new,5751,1,2,34,4.45,0.78,75312119
satellite town,plot,used,5763,1,5,3,2.51,0.42,44134904
university road,flat,used,3131,5,4,10,1.17,1.17,90080049
model town,flat,old,5249,6,5,13,4.91,0.99,96532448
university road,flat,new,5251,2,2,20,2.05,0.79,92118620
university road,flat,old,2566,2,4,25,2.3,1.05,51273328
model town,plot,new,1374,5,3,19,3.23,0.51,12955226
model town,plot,new,2198,5,3,12,3.82,0.5,22393581
satellite town,plot,old,4742,4,4,13,4.17,0.7,55622565
aziz bhatti town,plot,old,5554,6,4,34,3.92,1.18,184541903
university road,house,old,3824,3,3,7,3.0,0.41,32047198
wapda town,plot,new,1592,3,3,10,4.92,0.49,13833267
satellite town,house,new,5887,3,3,7,1.44,1.03,109614841
satellite town,plot,used,3809,4,2,26,4.93,0.71,44471252
aziz bhatti town,plot,new,2125,6,3,30,3.69,0.5,35983993
aziz bhatti town,plot,used,5281,2,1,20,3.68,1.1,148263568
university road,house,new,989,5,5,33,4.46,1.01,28157346
satellite town,plot,used,3784,2,4,26,2.44,0.8,47405230
satellite town,plot,new,5070,5,1,32,4.43,1.2,116051104
wapda town,plot,old,4471,5,3,24,3.42,0.96,59782608
university road,flat,old,1232,1,2,28,2.4,0.85,18846018
university road,flat,old,1142,3,2,18,4.02,0.42,8969648
aziz bhatti town,flat,used,5617,3,4,16,4.24,1.06,163193562
university road,house,used,4866,2,3,13,2.02,0.72,77713556
wapda town,plot,old,1904,1,4,4,1.1,0.43,11400647
university road,house,old,3358,6,5,16,3.57,0.45,35051841
model town,plot,new,666,1,1,20,1.67,0.99,10361454
model town,house,used,4316,2,1,25,4.1,0.73,46849036
wapda town,flat,used,3392,3,1,4,2.32,0.61,31120557
aziz bhatti town,plot,used,1988,4,3,29,3.46,0.44,24020207
satellite town,flat,new,2366,1,1,24,1.3,1.06,40355544
university road,flat,used,643,6,5,0,4.97,0.52,10062079
aziz bhatti town,plot,used,1492,6,5,18,1.87,1.09,49822496
aziz bhatti town,house,old,5436,6,2,33,2.35,0.54,75125998
university road,flat,old,3349,3,4,32,4.0,0.96,63701600
satellite town,flat,used,5041,2,1,17,1.77,1.19,87189443
university road,plot,old,1439,3,1,11,4.08,0.53,15524376
satellite town,plot,new,3669,4,1,20,1.66,1.1,68797812
wapda town,house,old,3720,3,5,4,1.17,1.06,56561514
satellite town,flat,used,2409,1,3,10,3.99,0.83,34307673
aziz bhatti town,flat,used,2274,1,2,24,2.55,0.46,25990851
wapda town,house,old,4027,6,4,25,1.87,0.86,50001934
model town,plot,old,3430,3,5,12,3.24,0.49,26116464
wapda town,plot,old,1833,6,3,8,4.81,0.79,23670554
satellite town,plot,old,4308,3,3,19,4.96,0.89,55700956
wapda town,house,used,5573,3,3,8,2.91,1.07,90093975
wapda town,plot,old,851,2,5,9,1.76,1.03,12266990
model town,plot,used,2952,3,5,11,3.75,0.91,46940923
satellite town,house,used,1289,1,3,16,2.76,0.53,10475771
aziz bhatti town,flat,used,741,1,1,9,2.64,1.15,23064291
wapda town,flat,old,2497,6,2,31,1.25,0.91,30480496
university road,house,old,2834,6,5,27,3.69,0.86,56694173
aziz bhatti town,plot,used,4821,4,5,7,1.81,0.81,118554460
wapda town,plot,old,4585,3,4,10,1.27,0.62,38223379
aziz bhatti town,flat,old,2149,3,3,11,3.42,0.63,34605148
university road,plot,old,3477,6,1,10,4.44,1.05,86175430
aziz bhatti town,flat,old,1404,6,1,28,4.84,0.64,24381429
aziz bhatti town,flat,old,4931,6,3,3,4.61,0.41,63537367
university road,plot,new,5947,1,5,25,3.41,0.73,108562721
university road,flat,new,5111,1,1,8,4.16,0.96,124519072
university road,flat,new,2318,2,2,25,1.82,0.76,38901395
model town,house,old,5769,4,3,7,3.7,0.87,78225431
university road,plot,old,1554,1,2,13,2.35,1.0,30361857
aziz bhatti town,house,new,3807,2,3,27,3.28,0.58,64402433
university road,plot,new,4955,3,2,12,4.63,0.93,118219507
wapda town,plot,new,3091,3,1,32,3.24,0.97,45673946
university road,plot,used,3860,2,3,27,2.85,0.97,77954081
university road,plot,old,2881,1,4,4,4.3,1.17,76025280
satellite town,flat,used,2673,2,5,34,1.85,0.85,36065833
aziz bhatti town,house,new,4945,6,3,14,4.95,0.77,144305320
aziz bhatti town,house,used,2442,3,1,30,1.52,0.64,37870082
wapda town,flat,new,5863,6,1,30,2.6,0.96,97108264
model town,house,used,2518,6,4,26,2.31,0.98,42870623
satellite town,house,old,4832,1,5,24,2.09,0.47,32635439
wapda town,plot,used,3530,6,4,34,3.37,0.61,35811505
wapda town,plot,old,5507,2,2,17,2.12,1.17,76780763
aziz bhatti town,plot,new,5622,3,2,14,2.91,1.18,202405303
satellite town,plot,used,2618,6,3,18,1.94,0.83,37565586
aziz bhatti town,flat,old,5756,4,4,13,4.29,0.49,79497867
model town,flat,old,1548,3,5,0,3.63,0.98,24742636
aziz bhatti town,flat,old,1108,6,2,20,4.28,1.08,32054743
university road,house,used,4442,6,4,3,3.97,0.53,67331164
aziz bhatti town,plot,new,1134,4,3,26,1.65,0.64,21369743
university road,house,old,898,3,3,17,2.71,0.72,12074687
wapda town,plot,old,1682,6,1,9,2.78,1.06,26984146
model town,plot,used,3113,1,2,24,3.8,1.13,51942210
university road,house,old,5690,1,2,18,2.03,0.83,84232854
model town,house,old,5953,6,1,20,1.79,1.13,97977753
aziz bhatti town,house,used,1367,5,3,31,3.87,0.62,24617547
aziz bhatti town,flat,new,4839,5,3,2,4.94,1.18,215224798
wapda town,house,used,4714,4,1,7,3.06,0.82,59748917
aziz bhatti town,flat,used,601,4,5,33,1.49,1.1,18320271
university road,house,used,5438,2,4,24,1.9,0.62,70600405
wapda town,flat,used,2060,2,2,28,2.57,0.66,18198980
model town,house,old,5045,2,5,21,3.28,0.8,57752958
wapda town,flat,new,1725,6,4,19,3.91,0.72,23429213
model town,house,old,4088,6,1,12,3.66,0.81,54826228
satellite town,plot,new,1751,3,5,17,4.55,0.75,24890844
university road,house,old,1413,6,3,14,4.85,1.1,38145325
university road,house,old,2483,4,4,14,1.12,1.09,57103288
model town,plot,used,2581,2,1,2,4.02,0.59,25549066
aziz bhatti town,plot,used,2542,4,2,16,1.14,0.92,58942862
aziz bhatti town,flat,old,722,3,4,22,1.98,0.79,13334778
satellite town,plot,used,2286,1,4,34,3.96,0.42,15586736
model town,flat,new,822,3,4,2,2.9,0.89,14192677
satellite town,house,used,2276,3,5,20,4.63,0.75,28940415
model town,plot,old,1839,6,4,23,4.65,0.89,27040909
satellite town,flat,old,1770,2,3,16,3.32,0.74,18318500
model town,house,old,4151,6,5,26,3.83,1.2,83036301
university road,flat,old,3379,6,5,13,3.23,1.17,98882920
satellite town,house,new,2665,3,4,7,2.64,0.79,40330222
satellite town,flat,old,4955,3,5,18,4.64,1.01,76379764
model town,house,used,3046,4,3,10,2.2,0.57,29010803
wapda town,house,old,2535,3,1,0,3.39,0.45,15841554
wapda town,flat,old,4845,2,3,23,4.38,0.86,53953222
university road,house,used,1333,6,3,28,3.82,0.83,27104231
aziz bhatti town,flat,new,5652,6,2,4,3.89,0.76,160411075
aziz bhatti town,house,used,5613,1,5,27,1.75,0.76,113308875
university road,plot,new,1698,6,3,7,4.21,0.82,41903297
aziz bhatti town,plot,old,4039,2,4,29,2.97,1.05,101543395
model town,flat,new,2187,5,4,28,2.52,0.48,19637356
wapda town,plot,old,841,2,4,18,4.81,0.71,8035850
university road,plot,new,3480,2,4,25,1.92,0.44,35928456
model town,house,old,3163,4,5,17,4.38,0.56,27305753
university road,plot,used,3729,3,2,15,4.43,0.76,64618237
wapda town,flat,old,835,2,2,4,3.0,1.01,11603821
aziz bhatti town,flat,old,1493,4,3,24,2.69,0.45,16303259
model town,house,old,4915,1,4,14,1.21,1.06,74945075
wapda town,plot,old,648,4,2,21,4.01,1.2,10176850
university road,house,new,3599,4,1,13,3.13,0.71,66465806
satellite town,plot,new,3758,6,3,17,3.61,0.56,42410067
model town,plot,used,3503,3,5,34,1.46,0.68,36242698
university road,plot,new,5892,3,1,7,2.61,0.61,87936183
university road,house,used,1670,3,4,30,3.76,0.69,25226456
wapda town,house,old,3989,5,3,24,3.26,0.93,51475997
university road,plot,new,1388,4,5,4,2.83,0.65,26412964
model town,flat,used,1774,4,2,23,3.09,0.75,20286269
model town,plot,old,2667,1,1,26,2.89,0.46,15957057
university road,flat,used,4279,2,1,9,2.06,1.04,95929874
wapda town,plot,used,2884,1,4,6,3.64,0.82,37411077
model town,plot,used,1492,6,2,5,4.12,1.01,29142808
satellite town,flat,new,3063,4,3,25,3.54,0.48,27007836
aziz bhatti town,flat,new,1829,6,5,13,1.1,0.88,58897446
wapda town,house,used,3695,6,3,8,2.88,0.74,47474013
wapda town,flat,used,2619,1,3,4,3.55,0.95,39691478
aziz bhatti town,plot,used,1842,5,4,24,1.71,0.6,31371964
aziz bhatti town,house,used,1600,6,4,4,1.84,1.05,56538647
model town,plot,used,1344,4,1,7,4.08,0.91,20746121
university road,house,new,3298,1,5,18,2.36,0.66,53084382
university road,plot,used,4357,3,2,21,2.52,0.97,84754695
satellite town,flat,used,4784,5,1,22,3.77,1.13,90669471
university road,plot,used,1694,3,4,34,4.01,0.89,33199064
satellite town,plot,used,4569,4,2,21,2.7,1.09,77737853
satellite town,house,old,4550,4,2,8,3.22,1.08,75972583
wapda town,flat,used,3338,2,2,31,3.92,0.49,22604660
wapda town,flat,old,3193,4,5,25,3.89,0.54,24528043
model town,plot,old,3742,1,4,1,2.83,1.1,64061531
aziz bhatti town,plot,used,2987,4,5,7,2.13,0.47,42955714
aziz bhatti town,house,used,1845,3,2,11,2.23,0.61,30161497
satellite town,house,old,3316,3,4,23,4.29,0.83,40521742
aziz bhatti town,flat,used,1500,3,1,14,1.58,0.66,26113230
satellite town,flat,old,5146,2,4,23,2.02,0.64,45946593
aziz bhatti town,house,old,5877,2,2,24,4.89,0.49,68023824
model town,house,new,1768,5,4,24,3.88,1.12,38255222
wapda town,plot,used,4941,6,1,34,3.53,0.86,66920996
wapda town,plot,old,4173,1,2,9,1.09,0.74,38996597
satellite town,house,old,5247,5,4,11,3.25,0.5,45073423
aziz bhatti town,house,used,2850,3,5,27,3.9,0.96,76506981
university road,house,old,2827,6,3,8,3.1,0.84,55953089
model town,plot,used,2841,5,2,33,2.17,0.44,19530643
aziz bhatti town,flat,new,4925,5,2,13,4.68,0.54,93026501
university road,house,used,3792,3,3,13,3.04,0.43,37067732
model town,plot,new,1056,1,5,23,1.27,1.18,21134460
model town,flat,used,5286,3,2,25,3.85,0.76,59389637
wapda town,house,new,3772,2,3,6,1.61,1.11,68651644
satellite town,flat,old,3723,3,2,21,1.94,0.7,34232684
aziz bhatti town,plot,new,4924,4,4,4,3.48,0.54,95182300
model town,plot,used,4551,1,3,29,4.06,1.08,75207462
aziz bhatti town,house,old,848,4,3,32,3.6,0.54,11354536
model town,flat,old,2196,6,1,34,1.23,1.11,35015859
wapda town,flat,used,2432,4,3,8,4.83,0.53,21384814
satellite town,flat,used,3604,4,2,5,4.85,1.06,70885040
university road,flat,old,2595,1,4,30,1.54,0.78,37810395
university road,plot,old,643,1,1,13,4.57,1.17,15487674
wapda town,flat,used,5621,6,5,31,4.39,0.61,60050037
model town,house,old,5923,2,3,11,2.77,0.48,41281783
wapda town,plot,old,5727,5,4,14,2.76,0.93,81692037
satellite town,house,used,1751,5,3,28,2.15,1.0,29103514
university road,flat,new,3547,2,4,32,4.57,0.88,77983449
aziz bhatti town,flat,used,4108,4,5,16,1.53,0.88,100278237
university road,plot,old,4148,2,3,24,2.72,1.16,89881001
satellite town,flat,old,2117,3,2,25,1.81,0.56,15523066
model town,house,old,1307,6,3,10,3.26,0.71,15677336
wapda town,plot,old,2790,5,2,14,2.86,1.02,41276877
university road,flat,old,846,1,1,34,4.35,0.84,13391474
university road,house,old,5731,6,4,7,3.59,0.71,99816403
aziz bhatti town,flat,new,3159,6,3,8,4.87,1.11,132649825
wapda town,flat,old,4459,2,4,25,3.87,1.19,69878273
aziz bhatti town,flat,used,5321,1,3,14,4.98,0.61,95571609
aziz bhatti town,flat,new,5703,4,4,10,2.39,0.42,80329420
model town,house,old,2233,1,2,6,1.26,1.06,32161932
university road,plot,used,1063,5,2,12,2.27,0.5,12667465
wapda town,house,new,1146,6,4,20,3.08,0.46,9752046
model town,house,used,2934,3,3,7,3.48,0.71,34179952
model town,plot,old,4239,3,2,15,3.72,0.55,33614846
model town,plot,used,3998,2,4,27,4.01,0.57,35843635
satellite town,flat,new,2178,3,4,29,4.58,0.69,27719003
satellite town,flat,used,1829,1,4,22,1.66,0.52,14613351
model town,house,used,3268,4,3,19,1.59,0.72,35635201
satellite town,flat,old,2967,2,1,34,3.6,0.46,18654646
wapda town,plot,used,2899,1,1,15,4.34,0.65,28583705
university road,plot,new,1527,6,3,28,1.16,0.91,35758093
wapda town,flat,new,5998,6,5,30,3.28,0.72,82541464
university road,house,old,5584,5,4,1,2.31,0.55,72693737
satellite town,flat,old,4227,5,3,10,1.59,1.03,69828489
wapda town,plot,used,1914,2,3,30,1.41,0.58,14878250
aziz bhatti town,plot,new,4688,1,5,8,4.12,0.93,149178824
model town,house,old,3848,3,1,6,2.82,0.4,21724653
university road,plot,new,684,3,2,28,2.98,0.79,12271305
university road,house,used,2262,6,5,29,2.96,0.51,29306889
aziz bhatti town,house,old,4105,4,1,12,3.71,0.64,68923587
aziz bhatti town,flat,new,5957,1,4,5,2.31,1.13,223167949
model town,flat,new,5211,3,4,14,1.71,1.03,97277982
satellite town,house,new,5417,1,1,26,1.53,1.15,100811676
wapda town,flat,used,3649,1,2,32,3.26,1.19,59088938
wapda town,plot,new,3751,1,1,13,4.7,0.96,61685885
wapda town,house,old,4323,5,3,2,2.56,0.87,58016807
satellite town,house,used,5386,3,2,4,2.09,0.62,55296701
model town,flat,used,1741,5,1,8,1.65,0.47,13720853
wapda town,house,old,5347,1,3,6,2.39,0.86,61752115
university road,house,old,2070,2,2,33,3.73,0.95,36527208
university road,house,used,2755,2,5,22,1.53,0.77,45265003
university road,flat,new,1744,5,5,13,4.85,1.08,58228599
aziz bhatti town,house,used,3190,5,2,16,1.88,0.46,39459653
aziz bhatti town,house,old,965,4,4,31,1.62,0.98,23010823
satellite town,house,used,1284,3,1,23,3.89,0.82,16098835
wapda town,flat,old,3694,4,3,16,1.83,0.99,46798978
